143,27:39.160,Exit,3,CS,1,
144,27:39.160,Entry,5,CS Remainder,,
145,27:39.165,Input,34,Right Exit,,
146,27:50.060,Exit,5,CS Remainder,Time,
147,27:50.060,Entry,6,after CS,,
148,27:50.560,Exit,6,after CS,Time,
149,27:50.560,Entry,7,ITI,,
151,29:50.565,Exit,7,ITI,Time,
152,29:50.565,Entry,3,CS,,
153,30:05.565,Exit,3,CS,Time,
154,30:05.565,Entry,4,US,,
155,30:05.935,Input,2,Right Entrance,,
156,30:05.940,Input,33,Left Exit,,
157,30:06.065,Exit,4,US,Time,
158,30:06.065,Entry,7,ITI,,
160,31:26.790,Input,1,Left Entrance,,
161,31:26.795,Input,34,Right Exit,,
162,32:46.070,Exit,7,ITI,Time,
163,32:46.070,Entry,3,CS,,
164,32:48.700,Input,2,Right Entrance,,
165,32:48.700,Exit,3,CS,2,
166,32:48.700,Entry,5,CS Remainder,,
167,32:48.705,Input,33,Left Exit,,
168,33:01.070,Exit,5,CS Remainder,Time,
169,33:01.070,Entry,6,after CS,,
170,33:01.570,Exit,6,after CS,Time,
171,33:01.570,Entry,7,ITI,,
173,34:21.575,Exit,7,ITI,Time,
174,34:21.575,Entry,3,CS,,
175,34:24.325,Input,1,Left Entrance,,
176,34:24.325,Input,34,Right Exit,,
177,34:24.325,Exit,3,CS,1,
178,34:24.325,Entry,5,CS Remainder,,
179,34:36.575,Exit,5,CS Remainder,Time,
180,34:36.575,Entry,6,after CS,,
181,34:37.075,Exit,6,after CS,Time,
182,34:37.075,Entry,7,ITI,,
184,36:17.080,Exit,7,ITI,Time,
185,36:17.080,Entry,3,CS,,
186,36:23.415,Input,2,Right Entrance,,
187,36:23.415,Exit,3,CS,2,
188,36:23.415,Entry,5,CS Remainder,,
189,36:23.425,Input,33,Left Exit,,
190,36:32.080,Exit,5,CS Remainder,Time,
191,36:32.080,Entry,6,after CS,,
192,36:32.580,Exit,6,after CS,Time,
193,36:32.580,Entry,7,ITI,,
195,38:52.585,Exit,7,ITI,Time,
196,38:52.585,Entry,3,CS,,
197,38:56.720,Input,1,Left Entrance,,
198,38:56.720,Input,34,Right Exit,,
199,38:56.720,Exit,3,CS,1,
200,38:56.720,Entry,5,CS Remainder,,
201,39:07.585,Exit,5,CS Remainder,Time,
202,39:07.585,Entry,6,after CS,,
203,39:08.085,Exit,6,after CS,Time,
204,39:08.085,Entry,7,ITI,,
206,41:08.090,Exit,7,ITI,Time,
207,41:08.090,Entry,3,CS,,
208,41:16.160,Input,2,Right Entrance,,
209,41:16.160,Exit,3,CS,2,
210,41:16.160,Entry,5,CS Remainder,,
211,41:16.170,Input,33,Left Exit,,
212,41:23.090,Exit,5,CS Remainder,Time,
213,41:23.090,Entry,6,after CS,,
214,41:23.590,Exit,6,after CS,Time,
215,41:23.590,Entry,7,ITI,,
217,44:03.595,Exit,7,ITI,Time,
218,44:03.595,Entry,3,CS,,
219,44:06.660,Input,1,Left Entrance,,
220,44:06.660,Input,34,Right Exit,,
221,44:06.660,Exit,3,CS,1,
222,44:06.660,Entry,5,CS Remainder,,
223,44:18.595,Exit,5,CS Remainder,Time,
224,44:18.595,Entry,6,after CS,,
225,44:19.095,Exit,6,after CS,Time,
226,44:19.095,Entry,7,ITI,,
228,45:39.100,Exit,7,ITI,Time,
229,45:39.100,Entry,3,CS,,
230,45:44.005,Input,2,Right Entrance,,
231,45:44.005,Exit,3,CS,2,
232,45:44.005,Entry,5,CS Remainder,,
233,45:44.015,Input,33,Left Exit,,
234,45:54.100,Exit,5,CS Remainder,Time,
235,45:54.100,Entry,6,after CS,,
236,45:54.600,Exit,6,after CS,Time,
237,45:54.600,Entry,7,ITI,,
239,47:34.605,Exit,7,ITI,Time,
240,47:34.605,Entry,3,CS,,
241,47:36.940,Input,1,Left Entrance,,
242,47:36.940,Exit,3,CS,1,
243,47:36.940,Entry,5,CS Remainder,,
244,47:36.945,Input,34,Right Exit,,
245,47:49.605,Exit,5,CS Remainder,Time,
246,47:49.605,Entry,6,after CS,,
247,47:50.105,Exit,6,after CS,Time,
248,47:50.105,Entry,7,ITI,,
250,50:10.110,Exit,7,ITI,Time,
251,50:10.110,Entry,3,CS,,
252,50:12.795,Input,2,Right Entrance,,
253,50:12.795,Exit,3,CS,2,
254,50:12.795,Entry,5,CS Remainder,,
255,50:12.805,Input,33,Left Exit,,
256,50:25.110,Exit,5,CS Remainder,Time,
257,50:25.110,Entry,6,after CS,,
258,50:25.610,Exit,6,after CS,Time,
259,50:25.610,Entry,7,ITI,,
261,52:25.615,Exit,7,ITI,Time,
262,52:25.615,Entry,3,CS,,
263,52:32.760,Input,1,Left Entrance,,
264,52:32.760,Input,34,Right Exit,,
265,52:32.760,Exit,3,CS,1,
266,52:32.760,Entry,5,CS Remainder,,
267,52:40.615,Exit,5,CS Remainder,Time,
268,52:40.615,Entry,6,after CS,,
269,52:41.115,Exit,6,after CS,Time,
270,52:41.115,Entry,7,ITI,,
272,55:11.290,Input,2,Right Entrance,,
273,55:11.300,Input,33,Left Exit,,
274,55:21.120,Exit,7,ITI,Time,
275,55:21.120,Entry,3,CS,,
276,55:22.510,Input,1,Left Entrance,,
277,55:22.510,Exit,3,CS,1,
278,55:22.510,Entry,5,CS Remainder,,
279,55:22.515,Input,34,Right Exit,,
280,55:36.120,Exit,5,CS Remainder,Time,
281,55:36.120,Entry,6,after CS,,
282,55:36.620,Exit,6,after CS,Time,
283,55:36.620,Entry,7,ITI,,
285,56:28.705,Input,2,Right Entrance,,
286,56:28.715,Input,33,Left Exit,,
287,56:51.205,Input,1,Left Entrance,,
288,56:51.205,Input,34,Right Exit,,
289,56:56.625,Exit,7,ITI,Time,
290,56:56.625,Entry,3,CS,,
291,56:59.040,Input,2,Right Entrance,,
292,56:59.040,Exit,3,CS,2,
293,56:59.040,Entry,5,CS Remainder,,
294,56:59.050,Input,33,Left Exit,,
295,57:11.625,Exit,5,CS Remainder,Time,
296,57:11.625,Entry,6,after CS,,
297,57:12.125,Exit,6,after CS,Time,
298,57:12.125,Entry,7,ITI,,
300,58:52.130,Exit,7,ITI,Time,
301,58:52.130,Entry,3,CS,,
302,58:54.405,Input,1,Left Entrance,,
303,58:54.405,Input,34,Right Exit,,
304,58:54.405,Exit,3,CS,1,
305,58:54.405,Entry,5,CS Remainder,,
306,59:07.130,Exit,5,CS Remainder,Time,
307,59:07.130,Entry,6,after CS,,
308,59:07.630,Exit,6,after CS,Time,
309,59:07.630,Entry,7,ITI,,
311,59:20.475,Input,2,Right Entrance,,
312,59:20.485,Input,33,Left Exit,,
313,59:44.295,Input,1,Left Entrance,,
314,59:44.295,Input,34,Right Exit,,
315,1:00:16.055,Input,2,Right Entrance,,
316,1:00:16.060,Input,33,Left Exit,,
317,1:01:15.805,Input,1,Left Entrance,,
318,1:01:15.810,Input,34,Right Exit,,
319,1:01:27.635,Exit,7,ITI,Time,
320,1:01:27.635,Entry,3,CS,,
321,1:01:30.235,Input,2,Right Entrance,,
322,1:01:30.235,Exit,3,CS,2,
323,1:01:30.235,Entry,5,CS Remainder,,
324,1:01:30.245,Input,33,Left Exit,,
325,1:01:42.635,Exit,5,CS Remainder,Time,
326,1:01:42.635,Entry,6,after CS,,
327,1:01:43.135,Exit,6,after CS,Time,
